Region,County,First Dose,Series Complete,Report as of
Capital Region,Albany,257390,234212,03/16/2023
Capital Region,Albany,257375,234200,03/15/2023
Finger Lakes,Yates,14851,13865,03/15/2023
Finger Lakes,Wyoming,23575,22297,03/15/2023
Mid-Hudson,Westchester,895465,804343,03/15/2023
Finger Lakes,Wayne,66245,62395,03/15/2023
Capital Region,Washington,42215,40099,03/15/2023
Capital Region,Warren,52754,49707,03/15/2023
Mid-Hudson,Ulster,149723,136928,03/15/2023
Southern Tier,Tompkins,90454,82165,03/15/2023
Southern Tier,Tioga,25889,24500,03/15/2023
Mid-Hudson,Sullivan,51780,46809,03/15/2023
Long Island,Suffolk,1253007,1137278,03/15/2023
Southern Tier,Steuben,56651,53208,03/15/2023
North Country,St. Lawrence,75289,69894,03/15/2023
Finger Lakes,Seneca,19831,18564,03/15/2023
Southern Tier,Schuyler,11386,10544,03/15/2023
Mohawk Valley,Schoharie,19610,18548,03/15/2023
Capital Region,Schenectady,137801,127265,03/15/2023
Capital Region,Saratoga,190674,177811,03/15/2023
Mid-Hudson,Rockland,235778,211605,03/15/2023
New York City,Richmond,395731,362941,03/15/2023
Capital Region,Rensselaer,120724,111520,03/15/2023
New York City,Queens,2234072,2004451,03/15/2023
Mid-Hudson,Putnam,84268,75485,03/15/2023
Mohawk Valley,Otsego,40961,38258,03/15/2023
Central New York,Oswego,80263,75489,03/15/2023
Finger Lakes,Orleans,24591,23141,03/15/2023
Mid-Hudson,Orange,268048,243562,03/15/2023
Finger Lakes,Ontario,86200,80955,03/15/2023
Central New York,Onondaga,373822,343205,03/15/2023
Mohawk Valley,Oneida,158006,146627,03/15/2023
Western New York,Niagara,152331,142944,03/15/2023
New York City,New York,1673189,1429316,03/15/2023
Long Island,Nassau,1264333,1151310,03/15/2023
Mohawk Valley,Montgomery,35703,33680,03/15/2023
Finger Lakes,Monroe,593273,552272,03/15/2023
Central New York,Madison,55085,51494,03/15/2023
Finger Lakes,Livingston,40844,38655,03/15/2023
North Country,Lewis,14599,13878,03/15/2023
New York City,Kings,2126291,1914104,03/15/2023
North Country,Jefferson,76585,64319,03/15/2023
Mohawk Valley,Herkimer,37331,34985,03/15/2023
North Country,Hamilton,3569,3305,03/15/2023
Capital Region,Greene,32701,29744,03/15/2023
Finger Lakes,Genesee,38179,36038,03/15/2023
Mohawk Valley,Fulton,30512,28742,03/15/2023
North Country,Franklin,31529,29466,03/15/2023
North Country,Essex,28102,26213,03/15/2023
Western New York,Erie,724374,672266,03/15/2023
Mid-Hudson,Dutchess,234554,211012,03/15/2023
Southern Tier,Delaware,26894,24897,03/15/2023
Central New York,Cortland,30129,28431,03/15/2023
Capital Region,Columbia,46524,42393,03/15/2023
North Country,Clinton,60143,56297,03/15/2023
Southern Tier,Chenango,31637,29771,03/15/2023
Southern Tier,Chemung,50022,46918,03/15/2023
Western New York,Chautauqua,82777,76215,03/15/2023
Central New York,Cayuga,50329,47036,03/15/2023
Western New York,Cattaraugus,44460,41210,03/15/2023
Southern Tier,Broome,136908,127455,03/15/2023
New York City,Bronx,1238788,1099375,03/15/2023
Western New York,Allegany,23825,22219,03/15/2023
Southern Tier,Chenango,31636,29771,03/14/2023
Finger Lakes,Yates,14851,13865,03/14/2023
Finger Lakes,Wyoming,23574,22297,03/14/2023
Mid-Hudson,Westchester,895439,804316,03/14/2023
Finger Lakes,Wayne,66244,62393,03/14/2023
Capital Region,Washington,42215,40099,03/14/2023
Capital Region,Warren,52753,49707,03/14/2023
Mid-Hudson,Ulster,149722,136927,03/14/2023
Southern Tier,Tompkins,90451,82161,03/14/2023
Southern Tier,Tioga,25889,24500,03/14/2023
Mid-Hudson,Sullivan,51779,46808,03/14/2023
Long Island,Suffolk,1252953,1137248,03/14/2023
Southern Tier,Steuben,56651,53206,03/14/2023
North Country,St. Lawrence,75278,69887,03/14/2023
Finger Lakes,Seneca,19831,18564,03/14/2023
Southern Tier,Schuyler,11386,10544,03/14/2023
Mohawk Valley,Schoharie,19610,18547,03/14/2023
Capital Region,Schenectady,137795,127259,03/14/2023
Capital Region,Saratoga,190671,177808,03/14/2023
Mid-Hudson,Rockland,235772,211600,03/14/2023
New York City,Richmond,395717,362933,03/14/2023
Capital Region,Rensselaer,120724,111518,03/14/2023
New York City,Queens,2233991,2004392,03/14/2023
Mid-Hudson,Putnam,84268,75484,03/14/2023
Mohawk Valley,Otsego,40960,38257,03/14/2023
Central New York,Oswego,80260,75488,03/14/2023
Finger Lakes,Orleans,24591,23139,03/14/2023
Mid-Hudson,Orange,268043,243560,03/14/2023
Finger Lakes,Ontario,86200,80955,03/14/2023
Central New York,Onondaga,373805,343190,03/14/2023
Mohawk Valley,Oneida,158003,146620,03/14/2023
Western New York,Niagara,152329,142941,03/14/2023
New York City,New York,1673076,1429251,03/14/2023
Long Island,Nassau,1264295,1151277,03/14/2023
Mohawk Valley,Montgomery,35703,33680,03/14/2023
Finger Lakes,Monroe,593237,552257,03/14/2023
Central New York,Madison,55083,51493,03/14/2023
Finger Lakes,Livingston,40844,38655,03/14/2023
North Country,Lewis,14599,13878,03/14/2023
New York City,Kings,2126199,1914033,03/14/2023
North Country,Jefferson,76583,64318,03/14/2023
Mohawk Valley,Herkimer,37330,34984,03/14/2023
North Country,Hamilton,3569,3305,03/14/2023
Capital Region,Greene,32700,29744,03/14/2023
Finger Lakes,Genesee,38179,36037,03/14/2023
Mohawk Valley,Fulton,30512,28742,03/14/2023
North Country,Franklin,31527,29465,03/14/2023
North Country,Essex,28101,26213,03/14/2023
Western New York,Erie,724351,672243,03/14/2023
Mid-Hudson,Dutchess,234549,211010,03/14/2023
Southern Tier,Delaware,26894,24897,03/14/2023
Central New York,Cortland,30127,28429,03/14/2023
Capital Region,Columbia,46524,42390,03/14/2023
North Country,Clinton,60142,56297,03/14/2023
Southern Tier,Chemung,50022,46917,03/14/2023
Western New York,Chautauqua,82774,76214,03/14/2023
Central New York,Cayuga,50328,47036,03/14/2023
Western New York,Cattaraugus,44458,41210,03/14/2023
Southern Tier,Broome,136905,127451,03/14/2023
New York City,Bronx,1238698,1099317,03/14/2023
Western New York,Allegany,23825,22219,03/14/2023
Capital Region,Albany,257359,234189,03/14/2023
New York City,Bronx,1238618,1099266,03/13/2023
Finger Lakes,Yates,14851,13865,03/13/2023
Finger Lakes,Wyoming,23573,22297,03/13/2023
Mid-Hudson,Westchester,895388,804301,03/13/2023
Finger Lakes,Wayne,66242,62393,03/13/2023
Capital Region,Washington,42215,40099,03/13/2023
Capital Region,Warren,52751,49707,03/13/2023
Mid-Hudson,Ulster,149721,136926,03/13/2023
Southern Tier,Tompkins,90448,82159,03/13/2023
Southern Tier,Tioga,25889,24500,03/13/2023
Mid-Hudson,Sullivan,51779,46808,03/13/2023
Long Island,Suffolk,1252907,1137213,03/13/2023
Southern Tier,Steuben,56649,53205,03/13/2023
North Country,St. Lawrence,75277,69885,03/13/2023
Finger Lakes,Seneca,19831,18564,03/13/2023
Southern Tier,Schuyler,11386,10544,03/13/2023
Capital Region,Albany,257352,234184,03/13/2023
Mohawk Valley,Schoharie,19610,18547,03/13/2023
Capital Region,Schenectady,137794,127259,03/13/2023
Capital Region,Saratoga,190671,177806,03/13/2023
Mid-Hudson,Rockland,235761,211591,03/13/2023
New York City,Richmond,395678,362896,03/13/2023
Capital Region,Rensselaer,120724,111518,03/13/2023
New York City,Queens,2233869,2004289,03/13/2023
Mid-Hudson,Putnam,84268,75484,03/13/2023
Mohawk Valley,Otsego,40958,38257,03/13/2023
Central New York,Oswego,80258,75487,03/13/2023
Finger Lakes,Orleans,24591,23139,03/13/2023
Mid-Hudson,Orange,268035,243554,03/13/2023
Finger Lakes,Ontario,86199,80953,03/13/2023
Central New York,Onondaga,373794,343186,03/13/2023
Mohawk Valley,Oneida,157997,146618,03/13/2023
Western New York,Niagara,152326,142934,03/13/2023
New York City,New York,1672916,1429135,03/13/2023
Long Island,Nassau,1264259,1151246,03/13/2023
Mohawk Valley,Montgomery,35702,33680,03/13/2023
Finger Lakes,Monroe,593207,552245,03/13/2023
Central New York,Madison,55082,51492,03/13/2023
Finger Lakes,Livingston,40843,38654,03/13/2023
North Country,Lewis,14599,13875,03/13/2023
New York City,Kings,2125948,1913784,03/13/2023
North Country,Jefferson,76581,64317,03/13/2023
Mohawk Valley,Herkimer,37329,34984,03/13/2023
North Country,Hamilton,3569,3305,03/13/2023
Capital Region,Greene,32698,29744,03/13/2023
Finger Lakes,Genesee,38178,36036,03/13/2023
Mohawk Valley,Fulton,30512,28742,03/13/2023
North Country,Franklin,31527,29463,03/13/2023
North Country,Essex,28101,26213,03/13/2023
Western New York,Erie,724338,672228,03/13/2023
Mid-Hudson,Dutchess,234540,211008,03/13/2023
Southern Tier,Delaware,26894,24897,03/13/2023
Central New York,Cortland,30127,28429,03/13/2023
Capital Region,Columbia,46524,42390,03/13/2023
Western New York,Allegany,23820,22218,03/13/2023
North Country,Clinton,60138,56294,03/13/2023
Southern Tier,Chenango,31636,29769,03/13/2023
Southern Tier,Chemung,50020,46916,03/13/2023
Western New York,Chautauqua,82771,76214,03/13/2023
Central New York,Cayuga,50327,47035,03/13/2023
Western New York,Cattaraugus,44456,41209,03/13/2023
Southern Tier,Broome,136903,127451,03/13/2023
Western New York,Niagara,152325,142931,03/12/2023
Finger Lakes,Yates,14851,13864,03/12/2023
Finger Lakes,Wyoming,23573,22297,03/12/2023
Mid-Hudson,Westchester,895330,804277,03/12/2023
Finger Lakes,Wayne,66242,62393,03/12/2023
Capital Region,Washington,42214,40099,03/12/2023
Capital Region,Warren,52750,49707,03/12/2023
Mid-Hudson,Ulster,149719,136925,03/12/2023
Southern Tier,Tompkins,90444,82156,03/12/2023
Southern Tier,Tioga,25889,24500,03/12/2023
Mid-Hudson,Sullivan,51778,46807,03/12/2023
Long Island,Suffolk,1252870,1137193,03/12/2023
Southern Tier,Steuben,56644,53203,03/12/2023
North Country,St. Lawrence,75275,69883,03/12/2023
Finger Lakes,Seneca,19831,18564,03/12/2023
Southern Tier,Schuyler,11386,10544,03/12/2023
Mohawk Valley,Schoharie,19610,18547,03/12/2023
Capital Region,Schenectady,137787,127256,03/12/2023
Capital Region,Saratoga,190668,177805,03/12/2023
Mid-Hudson,Rockland,235752,211585,03/12/2023
New York City,Richmond,395668,362888,03/12/2023
Capital Region,Rensselaer,120720,111511,03/12/2023
New York City,Queens,2233782,2004238,03/12/2023
Mid-Hudson,Putnam,84268,75484,03/12/2023
Mohawk Valley,Otsego,40957,38257,03/12/2023
Central New York,Oswego,80256,75485,03/12/2023
Finger Lakes,Orleans,24591,23138,03/12/2023
Mid-Hudson,Orange,268027,243548,03/12/2023
Finger Lakes,Ontario,86199,80952,03/12/2023
Central New York,Onondaga,373766,343170,03/12/2023
Mohawk Valley,Oneida,157993,146617,03/12/2023
New York City,New York,1672789,1429072,03/12/2023
Long Island,Nassau,1264223,1151215,03/12/2023
Mohawk Valley,Montgomery,35702,33679,03/12/2023
Finger Lakes,Monroe,593183,552231,03/12/2023
Central New York,Madison,55082,51492,03/12/2023
Finger Lakes,Livingston,40839,38654,03/12/2023
North Country,Lewis,14598,13874,03/12/2023
New York City,Kings,2125809,1913706,03/12/2023
North Country,Jefferson,76579,64314,03/12/2023
Mohawk Valley,Herkimer,37328,34983,03/12/2023
North Country,Hamilton,3569,3305,03/12/2023
Capital Region,Greene,32695,29744,03/12/2023
Finger Lakes,Genesee,38175,36036,03/12/2023
Mohawk Valley,Fulton,30511,28741,03/12/2023
North Country,Franklin,31526,29461,03/12/2023
North Country,Essex,28099,26213,03/12/2023
Western New York,Erie,724322,672210,03/12/2023
Mid-Hudson,Dutchess,234522,211003,03/12/2023
Southern Tier,Delaware,26894,24896,03/12/2023
Central New York,Cortland,30127,28428,03/12/2023
Capital Region,Columbia,46523,42390,03/12/2023
North Country,Clinton,60137,56293,03/12/2023
Southern Tier,Chenango,31636,29769,03/12/2023
Southern Tier,Chemung,50018,46914,03/12/2023
Western New York,Chautauqua,82770,76212,03/12/2023
Central New York,Cayuga,50325,47033,03/12/2023
Western New York,Cattaraugus,44456,41209,03/12/2023
Southern Tier,Broome,136899,127450,03/12/2023
New York City,Bronx,1238546,1099220,03/12/2023
Western New York,Allegany,23820,22217,03/12/2023
Capital Region,Albany,257335,234156,03/12/2023
Mohawk Valley,Oneida,157990,146614,03/11/2023
Finger Lakes,Yates,14851,13864,03/11/2023
Finger Lakes,Wyoming,23573,22297,03/11/2023
Mid-Hudson,Westchester,895321,804275,03/11/2023
Finger Lakes,Wayne,66242,62393,03/11/2023
Capital Region,Washington,42214,40099,03/11/2023
Capital Region,Warren,52750,49707,03/11/2023
Mid-Hudson,Ulster,149718,136925,03/11/2023
Southern Tier,Tompkins,90444,82153,03/11/2023
Southern Tier,Tioga,25889,24500,03/11/2023
Mid-Hudson,Sullivan,51778,46807,03/11/2023
Long Island,Suffolk,1252852,1137185,03/11/2023
Southern Tier,Steuben,56644,53203,03/11/2023
North Country,St. Lawrence,75274,69883,03/11/2023
Finger Lakes,Seneca,19831,18564,03/11/2023
Southern Tier,Schuyler,11386,10544,03/11/2023
Mohawk Valley,Schoharie,19610,18547,03/11/2023
Capital Region,Schenectady,137786,127256,03/11/2023
Capital Region,Saratoga,190666,177805,03/11/2023
Mid-Hudson,Rockland,235749,211581,03/11/2023
New York City,Richmond,395658,362888,03/11/2023
Capital Region,Rensselaer,120718,111510,03/11/2023
New York City,Queens,2233750,2004222,03/11/2023
Mid-Hudson,Putnam,84268,75484,03/11/2023
Mohawk Valley,Otsego,40957,38257,03/11/2023
Central New York,Oswego,80256,75485,03/11/2023
Finger Lakes,Orleans,24591,23138,03/11/2023
Mid-Hudson,Orange,268026,243547,03/11/2023
Finger Lakes,Ontario,86198,80951,03/11/2023
Central New York,Onondaga,373761,343166,03/11/2023
Western New York,Niagara,152323,142931,03/11/2023
New York City,New York,1672741,1429060,03/11/2023
Long Island,Nassau,1264211,1151210,03/11/2023
Mohawk Valley,Montgomery,35701,33679,03/11/2023
Finger Lakes,Monroe,593179,552226,03/11/2023
Central New York,Madison,55082,51492,03/11/2023
Finger Lakes,Livingston,40839,38654,03/11/2023
North Country,Lewis,14598,13874,03/11/2023
New York City,Kings,2125773,1913685,03/11/2023
North Country,Jefferson,76578,64314,03/11/2023
Mohawk Valley,Herkimer,37328,34983,03/11/2023
North Country,Hamilton,3569,3305,03/11/2023
Capital Region,Greene,32695,29743,03/11/2023
Finger Lakes,Genesee,38175,36036,03/11/2023
Mohawk Valley,Fulton,30511,28741,03/11/2023
North Country,Franklin,31525,29461,03/11/2023
North Country,Essex,28099,26213,03/11/2023
Western New York,Erie,724318,672209,03/11/2023
Mid-Hudson,Dutchess,234521,211001,03/11/2023
Southern Tier,Delaware,26893,24895,03/11/2023
Central New York,Cortland,30127,28427,03/11/2023
Capital Region,Columbia,46523,42390,03/11/2023
North Country,Clinton,60137,56293,03/11/2023
Southern Tier,Chenango,31636,29769,03/11/2023
Southern Tier,Chemung,50018,46914,03/11/2023
Western New York,Chautauqua,82770,76212,03/11/2023
Central New York,Cayuga,50325,47032,03/11/2023
Western New York,Cattaraugus,44454,41209,03/11/2023
Southern Tier,Broome,136899,127450,03/11/2023
New York City,Bronx,1238536,1099214,03/11/2023
Western New York,Allegany,23819,22217,03/11/2023
Capital Region,Albany,257332,234154,03/11/2023
Western New York,Allegany,23819,22217,03/10/2023
Finger Lakes,Yates,14850,13863,03/10/2023
Finger Lakes,Wyoming,23573,22297,03/10/2023
Mid-Hudson,Westchester,895306,804269,03/10/2023
Finger Lakes,Wayne,66241,62393,03/10/2023
Capital Region,Washington,42214,40097,03/10/2023
Capital Region,Warren,52750,49707,03/10/2023
Mid-Hudson,Ulster,149716,136923,03/10/2023
Southern Tier,Tompkins,90442,82152,03/10/2023
Southern Tier,Tioga,25888,24500,03/10/2023
Mid-Hudson,Sullivan,51775,46806,03/10/2023
Long Island,Suffolk,1252825,1137169,03/10/2023
Southern Tier,Steuben,56642,53201,03/10/2023
North Country,St. Lawrence,75274,69881,03/10/2023
Finger Lakes,Seneca,19831,18564,03/10/2023
Southern Tier,Schuyler,11386,10544,03/10/2023
Mohawk Valley,Schoharie,19610,18547,03/10/2023
Capital Region,Schenectady,137782,127256,03/10/2023
Capital Region,Saratoga,190665,177804,03/10/2023
Mid-Hudson,Rockland,235746,211581,03/10/2023
New York City,Richmond,395652,362883,03/10/2023
Capital Region,Rensselaer,120717,111509,03/10/2023
New York City,Queens,2233666,2004175,03/10/2023
Mid-Hudson,Putnam,84268,75484,03/10/2023
Mohawk Valley,Otsego,40957,38256,03/10/2023
Central New York,Oswego,80255,75485,03/10/2023
Finger Lakes,Orleans,24591,23138,03/10/2023
Mid-Hudson,Orange,268018,243542,03/10/2023
Finger Lakes,Ontario,86197,80950,03/10/2023
Central New York,Onondaga,373750,343165,03/10/2023
Capital Region,Albany,257330,234150,03/10/2023
Mohawk Valley,Oneida,157983,146609,03/10/2023
Western New York,Niagara,152318,142929,03/10/2023
New York City,New York,1672701,1429042,03/10/2023
Long Island,Nassau,1264193,1151192,03/10/2023
Mohawk Valley,Montgomery,35698,33679,03/10/2023
Finger Lakes,Monroe,593172,552213,03/10/2023
Central New York,Madison,55082,51492,03/10/2023
Finger Lakes,Livingston,40838,38653,03/10/2023
North Country,Lewis,14597,13873,03/10/2023
New York City,Kings,2125679,1913613,03/10/2023
North Country,Jefferson,76578,64310,03/10/2023
Mohawk Valley,Herkimer,37325,34983,03/10/2023
North Country,Hamilton,3569,3305,03/10/2023
Capital Region,Greene,32695,29742,03/10/2023
Finger Lakes,Genesee,38174,36035,03/10/2023
Mohawk Valley,Fulton,30509,28741,03/10/2023
North Country,Franklin,31525,29461,03/10/2023
North Country,Essex,28099,26213,03/10/2023
Western New York,Erie,724304,672198,03/10/2023
Mid-Hudson,Dutchess,234514,210999,03/10/2023
Southern Tier,Delaware,26893,24894,03/10/2023
Central New York,Cortland,30127,28427,03/10/2023
Capital Region,Columbia,46523,42389,03/10/2023
North Country,Clinton,60137,56293,03/10/2023
Southern Tier,Chenango,31634,29769,03/10/2023
Southern Tier,Chemung,50018,46911,03/10/2023
Western New York,Chautauqua,82764,76208,03/10/2023
Central New York,Cayuga,50325,47032,03/10/2023
Western New York,Cattaraugus,44453,41209,03/10/2023
Southern Tier,Broome,136893,127444,03/10/2023
New York City,Bronx,1238501,1099199,03/10/2023
Western New York,Niagara,152316,142924,03/09/2023
Finger Lakes,Yates,14850,13863,03/09/2023
Finger Lakes,Wyoming,23573,22296,03/09/2023
Mid-Hudson,Westchester,895249,804240,03/09/2023
Finger Lakes,Wayne,66236,62393,03/09/2023
Capital Region,Washington,42213,40095,03/09/2023
Capital Region,Warren,52749,49706,03/09/2023
Mid-Hudson,Ulster,149714,136920,03/09/2023
Southern Tier,Tompkins,90438,82150,03/09/2023
Southern Tier,Tioga,25888,24500,03/09/2023
Mid-Hudson,Sullivan,51775,46806,03/09/2023
Long Island,Suffolk,1252783,1137144,03/09/2023
Southern Tier,Steuben,56640,53200,03/09/2023
North Country,St. Lawrence,75267,69875,03/09/2023
Finger Lakes,Seneca,19830,18564,03/09/2023
Southern Tier,Schuyler,11386,10542,03/09/2023
Mohawk Valley,Schoharie,19610,18547,03/09/2023
Capital Region,Schenectady,137775,127254,03/09/2023
Capital Region,Saratoga,190661,177802,03/09/2023
Mid-Hudson,Rockland,235736,211577,03/09/2023
New York City,Richmond,395635,362874,03/09/2023
Capital Region,Rensselaer,120712,111505,03/09/2023
New York City,Queens,2233546,2004106,03/09/2023
Mid-Hudson,Putnam,84264,75483,03/09/2023
Mohawk Valley,Otsego,40957,38254,03/09/2023
Central New York,Oswego,80251,75483,03/09/2023
Finger Lakes,Orleans,24588,23138,03/09/2023
Mid-Hudson,Orange,268007,243534,03/09/2023
Finger Lakes,Ontario,86195,80946,03/09/2023
Central New York,Onondaga,373741,343159,03/09/2023
Mohawk Valley,Oneida,157977,146607,03/09/2023
New York City,New York,1672551,1428952,03/09/2023
Long Island,Nassau,1264160,1151167,03/09/2023
Mohawk Valley,Montgomery,35696,33677,03/09/2023
Finger Lakes,Monroe,593137,552186,03/09/2023
Central New York,Madison,55079,51490,03/09/2023
Finger Lakes,Livingston,40838,38653,03/09/2023
North Country,Lewis,14597,13873,03/09/2023
New York City,Kings,2125556,1913532,03/09/2023
North Country,Jefferson,76575,64307,03/09/2023
Mohawk Valley,Herkimer,37323,34983,03/09/2023
North Country,Hamilton,3569,3305,03/09/2023
