Region,County,First Dose,Series Complete,Report as of
Finger Lakes,Monroe,593367,552347,03/20/2023
Central New York,Madison,55088,51498,03/20/2023
Finger Lakes,Livingston,40847,38657,03/20/2023
North Country,Lewis,14603,13879,03/20/2023
New York City,Kings,2126754,1914386,03/20/2023
North Country,Jefferson,76593,64323,03/20/2023
Mohawk Valley,Herkimer,37332,34988,03/20/2023
North Country,Hamilton,3569,3305,03/20/2023
Capital Region,Greene,32705,29744,03/20/2023
Finger Lakes,Genesee,38184,36041,03/20/2023
Mohawk Valley,Fulton,30515,28743,03/20/2023
North Country,Franklin,31533,29467,03/20/2023
North Country,Essex,28105,26214,03/20/2023
Western New York,Erie,724472,672339,03/20/2023
Mid-Hudson,Dutchess,234587,211030,03/20/2023
Southern Tier,Delaware,26896,24900,03/20/2023
Central New York,Cortland,30135,28433,03/20/2023
Capital Region,Columbia,46529,42395,03/20/2023
North Country,Clinton,60148,56300,03/20/2023
Southern Tier,Chenango,31637,29771,03/20/2023
Southern Tier,Chemung,50029,46923,03/20/2023
Western New York,Chautauqua,82787,76217,03/20/2023
Central New York,Cayuga,50334,47036,03/20/2023
Western New York,Cattaraugus,44463,41214,03/20/2023
Southern Tier,Broome,136921,127466,03/20/2023
Capital Region,Albany,257407,234224,03/19/2023
Finger Lakes,Yates,14852,13865,03/19/2023
Finger Lakes,Wyoming,23575,22298,03/19/2023
Mid-Hudson,Westchester,895548,804420,03/19/2023
Finger Lakes,Wayne,66249,62399,03/19/2023
Capital Region,Washington,42217,40100,03/19/2023
Capital Region,Warren,52756,49711,03/19/2023
Mid-Hudson,Ulster,149733,136939,03/19/2023
Southern Tier,Tompkins,90467,82169,03/19/2023
Southern Tier,Tioga,25891,24500,03/19/2023
Mid-Hudson,Sullivan,51788,46818,03/19/2023
Long Island,Suffolk,1253120,1137345,03/19/2023
Southern Tier,Steuben,56660,53212,03/19/2023
North Country,St. Lawrence,75289,69895,03/19/2023
Finger Lakes,Seneca,19831,18565,03/19/2023
Southern Tier,Schuyler,11387,10544,03/19/2023
Mohawk Valley,Schoharie,19614,18550,03/19/2023
Capital Region,Schenectady,137810,127272,03/19/2023
Capital Region,Saratoga,190692,177821,03/19/2023
Mid-Hudson,Rockland,235794,211624,03/19/2023
New York City,Richmond,395787,362967,03/19/2023
Capital Region,Rensselaer,120734,111528,03/19/2023
New York City,Queens,2234377,2004658,03/19/2023
Mid-Hudson,Putnam,84273,75490,03/19/2023
Mohawk Valley,Otsego,40963,38261,03/19/2023
Central New York,Oswego,80270,75494,03/19/2023
Finger Lakes,Orleans,24595,23142,03/19/2023
Mid-Hudson,Orange,268083,243574,03/19/2023
Finger Lakes,Ontario,86206,80961,03/19/2023
Central New York,Onondaga,373859,343223,03/19/2023
Mohawk Valley,Oneida,158016,146640,03/19/2023
Western New York,Niagara,152337,142949,03/19/2023
New York City,New York,1673513,1429500,03/19/2023
Long Island,Nassau,1264459,1151406,03/19/2023
Mohawk Valley,Montgomery,35708,33684,03/19/2023
Finger Lakes,Monroe,593341,552338,03/19/2023
Central New York,Madison,55087,51498,03/19/2023
Finger Lakes,Livingston,40845,38657,03/19/2023
North Country,Lewis,14603,13879,03/19/2023
New York City,Kings,2126626,1914310,03/19/2023
North Country,Jefferson,76590,64323,03/19/2023
Mohawk Valley,Herkimer,37332,34988,03/19/2023
North Country,Hamilton,3569,3305,03/19/2023
Capital Region,Greene,32704,29744,03/19/2023
Finger Lakes,Genesee,38182,36040,03/19/2023
Mohawk Valley,Fulton,30514,28743,03/19/2023
North Country,Franklin,31531,29467,03/19/2023
North Country,Essex,28102,26213,03/19/2023
Western New York,Erie,724444,672329,03/19/2023
Mid-Hudson,Dutchess,234579,211029,03/19/2023
Southern Tier,Delaware,26896,24900,03/19/2023
Central New York,Cortland,30134,28433,03/19/2023
Capital Region,Columbia,46526,42393,03/19/2023
North Country,Clinton,60148,56299,03/19/2023
Southern Tier,Chenango,31637,29771,03/19/2023
Southern Tier,Chemung,50028,46922,03/19/2023
Western New York,Chautauqua,82787,76217,03/19/2023
Central New York,Cayuga,50333,47036,03/19/2023
Western New York,Cattaraugus,44461,41214,03/19/2023
Southern Tier,Broome,136917,127462,03/19/2023
New York City,Bronx,1238955,1099517,03/19/2023
Western New York,Allegany,23828,22219,03/19/2023
Mohawk Valley,Oneida,158015,146639,03/18/2023
Finger Lakes,Yates,14852,13865,03/18/2023
Finger Lakes,Wyoming,23575,22298,03/18/2023
Mid-Hudson,Westchester,895538,804411,03/18/2023
Finger Lakes,Wayne,66248,62395,03/18/2023
Capital Region,Washington,42217,40100,03/18/2023
Capital Region,Warren,52756,49711,03/18/2023
Mid-Hudson,Ulster,149731,136936,03/18/2023
Southern Tier,Tompkins,90462,82169,03/18/2023
Southern Tier,Tioga,25890,24500,03/18/2023
Mid-Hudson,Sullivan,51786,46815,03/18/2023
Long Island,Suffolk,1253094,1137334,03/18/2023
Southern Tier,Steuben,56655,53212,03/18/2023
North Country,St. Lawrence,75289,69895,03/18/2023
Finger Lakes,Seneca,19831,18565,03/18/2023
Southern Tier,Schuyler,11387,10544,03/18/2023
Mohawk Valley,Schoharie,19614,18550,03/18/2023
Capital Region,Schenectady,137808,127271,03/18/2023
Capital Region,Saratoga,190685,177820,03/18/2023
Mid-Hudson,Rockland,235790,211620,03/18/2023
New York City,Richmond,395780,362958,03/18/2023
Capital Region,Rensselaer,120732,111528,03/18/2023
New York City,Queens,2234337,2004637,03/18/2023
Mid-Hudson,Putnam,84273,75490,03/18/2023
Mohawk Valley,Otsego,40961,38261,03/18/2023
Central New York,Oswego,80269,75493,03/18/2023
Finger Lakes,Orleans,24594,23142,03/18/2023
Mid-Hudson,Orange,268073,243574,03/18/2023
Finger Lakes,Ontario,86206,80960,03/18/2023
Central New York,Onondaga,373854,343217,03/18/2023
Western New York,Niagara,152334,142949,03/18/2023
New York City,New York,1673465,1429478,03/18/2023
Long Island,Nassau,1264440,1151388,03/18/2023
Mohawk Valley,Montgomery,35707,33684,03/18/2023
Finger Lakes,Monroe,593332,552331,03/18/2023
Central New York,Madison,55087,51498,03/18/2023
Finger Lakes,Livingston,40845,38657,03/18/2023
North Country,Lewis,14603,13879,03/18/2023
